BestMCTS3;HQL\\_BOT;SOISMCTS;Sakkirin;ToT-BoT
 82.19; 72.53; 67.92; 24.75;  2.18
 82.18; 72.52; 67.94; 24.76;  2.17
 82.18; 72.50; 67.98; 24.78;  2.17
 82.17; 72.47; 68.05; 24.79;  2.16
 82.14; 72.50; 68.08; 24.81;  2.15
 82.13; 72.54; 68.08; 24.83;  2.15
 82.11; 72.51; 68.10; 24.82;  2.14
 82.14; 72.48; 68.08; 24.82;  2.14
 82.13; 72.48; 68.08; 24.81;  2.14
 82.09; 72.47; 68.09; 24.81;  2.13
 82.08; 72.50; 68.09; 24.79;  2.13
 82.10; 72.48; 68.11; 24.78;  2.12
 82.09; 72.49; 68.13; 24.76;  2.12
 82.08; 72.52; 68.13; 24.75;  2.11
 82.09; 72.53; 68.10; 24.75;  2.11
 82.08; 72.52; 68.10; 24.78;  2.11
 82.08; 72.53; 68.09; 24.78;  2.10
 82.05; 72.52; 68.13; 24.79;  2.10
 82.04; 72.50; 68.18; 24.81;  2.09
 82.05; 72.49; 68.20; 24.82;  2.09
 82.07; 72.46; 68.25; 24.84;  2.08
 82.06; 72.45; 68.29; 24.85;  2.08
 82.04; 72.38; 68.35; 24.85;  2.07
 82.03; 72.36; 68.37; 24.84;  2.07
 82.04; 72.33; 68.35; 24.86;  2.06
 82.02; 72.33; 68.32; 24.88;  2.06
 82.01; 72.33; 68.34; 24.86;  2.06
 82.01; 72.38; 68.32; 24.85;  2.05
 82.00; 72.41; 68.31; 24.83;  2.05
 82.01; 72.41; 68.29; 24.84;  2.04
 82.00; 72.40; 68.31; 24.84;  2.04
 82.04; 72.37; 68.30; 24.85;  2.04
 81.99; 72.38; 68.34; 24.85;  2.03
 81.96; 72.39; 68.36; 24.86;  2.03
 81.95; 72.36; 68.42; 24.87;  2.02
 81.99; 72.35; 68.42; 24.89;  2.02
 81.98; 72.36; 68.45; 24.90;  2.01
 81.97; 72.39; 68.45; 24.92;  2.01
 81.98; 72.33; 68.47; 24.93;  2.00
 81.94; 72.34; 68.46; 24.93;  2.00
 81.99; 72.28; 68.46; 24.92;  2.00
 82.04; 72.23; 68.44; 24.92;  1.99
BestMCTS3   HQL_BOT wins= 67.75% errs=  0.00% alls=628
BestMCTS3  SOISMCTS wins= 62.06% errs=  0.00% alls=626
BestMCTS3  Sakkirin wins= 98.72% errs=  0.00% alls=626
BestMCTS3   ToT-BoT wins= 99.76% errs=  0.00% alls=622
  HQL_BOT BestMCTS3 wins= 32.25% errs=  0.00% alls=628
  HQL_BOT  SOISMCTS wins= 60.34% errs=  0.00% alls=624
  HQL_BOT  Sakkirin wins= 97.84% errs=  0.00% alls=624
  HQL_BOT   ToT-BoT wins= 98.87% errs=  0.00% alls=621
 SOISMCTS BestMCTS3 wins= 37.94% errs=  0.00% alls=626
 SOISMCTS   HQL_BOT wins= 39.66% errs=  0.00% alls=624
 SOISMCTS  Sakkirin wins= 97.92% errs=  0.00% alls=624
 SOISMCTS   ToT-BoT wins= 98.47% errs=  0.00% alls=621
 Sakkirin BestMCTS3 wins=  1.28% errs=  0.00% alls=626
 Sakkirin   HQL_BOT wins=  2.16% errs=  0.00% alls=624
 Sakkirin  SOISMCTS wins=  2.08% errs=  0.00% alls=624
 Sakkirin   ToT-BoT wins= 94.90% errs=  0.00% alls=618
  ToT-BoT BestMCTS3 wins=  0.24% errs= 93.73% alls=622
  ToT-BoT   HQL_BOT wins=  1.13% errs= 93.40% alls=621
  ToT-BoT  SOISMCTS wins=  1.53% errs= 93.72% alls=621
  ToT-BoT  Sakkirin wins=  5.10% errs= 93.77% alls=618
BestMCTS3 wins= 82.04% errs=  0.00% alls=2502
  HQL_BOT wins= 72.23% errs=  0.00% alls=2497
 SOISMCTS wins= 68.44% errs=  0.00% alls=2495
 Sakkirin wins= 24.92% errs=  0.00% alls=2492
  ToT-BoT wins=  1.99% errs= 93.66% alls=2483
